Semestre,Faixa_salarial,Faixa_Idade,Situacao_trabalho
1,Até 2 ,Até 20 anos,Estudante
1,Até 2 ,Entre 21 e 25 anos,Outras áreas
1,Até 2 ,Até 20 anos,Área da TI
1,Até 2 ,Entre 21 e 25 anos,Área da TI
1,Até 2 ,Até 20 anos,Outras áreas
1,Até 2 ,Até 20 anos,Estudante
1,Até 2 ,Até 20 anos,Estudante
1,Até 2 ,Até 20 anos,Estudante
2,Até 2 ,Até 20 anos,Área da TI
2,De 2 a 4 ,Entre 21 e 25 anos,Área da TI
2,Até 2 ,Entre 21 e 25 anos,Trabalho Informal
3,De 2 a 4 ,Acima de 36 anos,Outras áreas
4,Até 2 ,Entre 26 e 30 anos,Área da TI
4,Até 2 ,Até 20 anos,Inativo/fora
4,Até 2 ,Entre 31 e 35 anos,Inativo/fora
5,Até 2 ,Entre 21 e 25 anos,Área da TI
5,Até 2 ,Entre 26 e 30 anos,Outras áreas
5,Até 2 ,Entre 21 e 25 anos,Outras áreas
5,Até 2 ,Entre 21 e 25 anos,Área da TI
5,De 2 a 4 ,Entre 26 e 30 anos,Área da TI
6,De 2 a 4 ,Acima de 36 anos,Área da TI
6,Até 2 ,Entre 21 e 25 anos,Estudante
6,De 2 a 4 ,Até 20 anos,Área da TI
6,Até 2 ,Entre 21 e 25 anos,Área da TI
6,Até 2 ,Entre 21 e 25 anos,Inativo/fora
7,De 2 a 4 ,Entre 26 e 30 anos,Área da TI
7,Até 2 ,Entre 21 e 25 anos,Estudante
7,Até 2 ,Entre 21 e 25 anos,Área da TI
7,Até 2 ,Entre 31 e 35 anos,Outras áreas
7,De 2 a 4 ,Entre 21 e 25 anos,Área da TI
7,Até 2 ,Entre 26 e 30 anos,Área da TI
8,De 2 a 4 ,Entre 21 e 25 anos,Área da TI
8,De 2 a 4 ,Acima de 36 anos,Trabalho Informal
8,De 4 a 10 ,Entre 21 e 25 anos,Área da TI
8,Até 2 ,Entre 21 e 25 anos,Estudante
8,De 2 a 4 ,Entre 21 e 25 anos,Área da TI
8,De 4 a 10 ,Acima de 36 anos,Estudante
8,Até 2 ,Entre 21 e 25 anos,Área da TI
8,Até 2 ,Entre 21 e 25 anos,Área da TI
8,De 10 a 20 ,Entre 21 e 25 anos,Área da TI
